ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΔΙΑΜΕΤΡΟΣ (mm),ΜΗΚΟΣ (mm),ΦΟΡΤΙΟ ΑΣΦΑΛΕΙΑΣ (kgs),ΘΡΑΥΣΗ (kgs),ΒΑΡΟΣ (gr/m),ΜΗΚΟΣ ΧΑΛΚΑ (mm),ΠΛΑΤΟΣ ΧΑΛΚΑ (mm)
 ΑΛΥ/ΚΡΟ/10,  ΑΛΥΣΙΔΑ ΤΥΠΟΥ CROSBY Φ10,10mm,,3200,8000,2200,,
 ΑΛΥ/ΚΡΟ/13,  ΑΛΥΣΙΔΑ ΤΥΠΟΥ CROSBY Φ13,13mm,,5200,13750,3200,,
 ΑΛΥ/ΚΡΟ/16,  ΑΛΥΣΙΔΑ ΤΥΠΟΥ CROSBY Φ16,16mm,,7500,18750,6000,,
 ΑΛΥ/ΚΡΟ/6,  ΑΛΥΣΙΔΑ ΤΥΠΟΥ CROSBY Φ6,6mm,,1000,2500,800,,
 ΑΛΥ/ΚΡΟ/8,  ΑΛΥΣΙΔΑ ΤΥΠΟΥ CROSBY Φ8,8mm,,2000,5000,1300,,
 763/Α4/10, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,10mm,,800,4000,1750,85,40
 763/Α4/12, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,12mm,,1130,5650,2550,100,48
 763/Α4/2, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,2mm,,40,200,60,26,8
 763/Α4/3, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,3mm,,80,400,150,32,11
 763/Α4/4, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,4mm,,120,600,270,40,16
 763/Α4/5, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,5mm,,200,1000,430,45,20
 763/Α4/6, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,6mm,,280,1400,630,54,24
 763/Α4/8, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN763,8mm,,500,2500,1100,68,32
 763/Θ/10, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,10mm,,800,4000,1750,85,40
 763/Θ/12, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,12mm,,1130,5650,2550,100,48
 763/Θ/14, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,14mm,,1400,7000,2950,112,55
 763/Θ/16, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,16mm,,2000,10000,4450,132,64
 763/Θ/18, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,18mm,,2540,12700,5650,150,70
 763/Θ/20, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,20mm,,3200,16000,7000,160,75
 763/Ψ/3, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,3mm,,80,400,150,32,11
 763/Ψ/4, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,4mm,,120,600,270,40,16
 763/Ψ/5, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,5mm,,200,1000,430,45,20
 763/Ψ/6, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,6mm,,280,1400,630,54,24
 763/Ψ/8, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,8mm,,500,2500,1100,68,32
763/Ψ/2, ΑΛΥΣΙΔΕΣ ΓΑΛΒANIZE DIN763 ,2mm,,40,200,60,26,8
 766/Α4/10, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,10mm,,1000,5000,2100,50,34
 766/Α4/12, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,12mm,,1450,7250,3100,60,41
 766/Α4/2, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,2mm,,63,250,60,13,6
 766/Α4/3, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,3mm,,90,450,160,22,11
 766/Α4/4, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,4mm,,160,800,320,24,13
 766/Α4/5, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,5mm,,240,1200,500,28.5,17
 766/Α4/6, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,6mm,,320,1600,750,30.5,20
 766/Α4/8, ΑΛΥΣΙΔΕΣ ΑΝΟΞΕΙΔΩΤΕΣ DIN766,8mm,,650,3200,1200,40,27
 766/Κ/10, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,10mm,,1000,5000,2100,50,34
 766/Κ/12, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,12mm,,1450,7240,3100,60,41
 766/Κ/14, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,14mm,,2000,10000,4300,69,48
 766/Κ/16, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,16mm,,2500,12500,5800,77,55
 766/Κ/18, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,18mm,,3600,18000,7300,86,61
 766/Κ/20, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,20mm,,4000,20000,9000,96,68
 766/Κ/22, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,22mm,,4860,24300,11000,106,75
 766/Κ/24, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,24mm,,5000,25000,12000,110,78
 766/Κ/6, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,6mm,,320,1600,750,30.5,20
 766/Κ/8, ΑΛΥΣΙΔΕΣ ΓΑΛΒΑΝΙΖΕ  DIN766,8mm,,650,3200,1200,40,27
 766/Κ/Θ/10, ΑΛΥΣΙΔΕΣ ΓΑΛΛΙΑΣ ΕΡΓΑΤΗ DIN766,10mm,,1000,5000,2100,50,34
 766/Κ/Θ/12, ΑΛΥΣΙΔΕΣ ΓΑΛΛΙΑΣ ΕΡΓΑΤΗ DIN766,12mm,,1450,7250,3100,60,41
 766/Κ/Θ/14, ΑΛΥΣΙΔΕΣ ΓΑΛΛΙΑΣ ΕΡΓΑΤΗ DIN766,14mm,,2000,10000,4300,69,48
