ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΔΙΑΜΕΤΡΟΣ (mm),ΜΗΚΟΣ (mm),ΦΟΡΤΙΟ ΑΣΦ. (kgs)
 5299/Α4/Π/10,ΓΑΝΤΖΑΚΙΑ ΠΛΑΚΑ ΙΝΟΧ,-0,30,-0
 5299/Α4/Π/5,ΓΑΝΤΖΑΚΙΑ ΠΛΑΚΑ ΙΝΟΧ,-0,38,-0
 5299/Α4/Β/Α/10,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΑΝΟΞΕΙΔΩΤΑ,10,100,650
 5299/Α4/Β/Α/12,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΑΝΟΞΕΙΔΩΤΑ,12,140,800
 5299/Α4/Β/Α/6,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΑΝΟΞΕΙΔΩΤΑ,6,60,260
 5299/Α4/Β/Α/7,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΑΝΟΞΕΙΔΩΤΑ,7,70,335
 5299/Α4/Β/Α/8,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΑΝΟΞΕΙΔΩΤΑ,8,80,400
 5299/Γ/Β/Α/10,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΓΑΛΒΑΝΙΖΕ,10,100,650
 5299/Γ/Β/Α/5,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΓΑΛΒΑΝΙΖΕ,5,50,160
 5299/Γ/Β/Α/6,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΓΑΛΒΑΝΙΖΕ,6,60,260
 5299/Γ/Β/Α/8,ΚΛΙΠΣ ΒΙΔΑ ΑΧΛΑΔΙ ΓΑΛΒΑΝΙΖΕ,8,80,400
 5299/Α4/Β/10,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,10,100,650
 5299/Α4/Β/12,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,12,140,800
 5299/Α4/Β/14,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,14,180,1600
 5299/Α4/Β/4,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,4,40,100
 5299/Α4/Β/5,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,5,50,160
 5299/Α4/Β/6,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,6,60,260
 5299/Α4/Β/8,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΑΝΟΞΕΙΔΩΤΑ,8,80,400
 5299/Γ/Β/10,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,10,100,650
 5299/Γ/Β/12,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,12,140,800
 5299/Γ/Β/4,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,4,40,100
 5299/Γ/Β/5,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,5,50,160
 5299/Γ/Β/6,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,6,60,260
 5299/Γ/Β/8,ΚΛΙΠΣ ΒΙΔΑ ΟΒΑΛ ΓΑΛΒΑΝΙΖΕ,8,80,400
 5299/Γ/10,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,10,100,650
 5299/Γ/11,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,11,120,700
 5299/Γ/12,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,12,140,800
 5299/Γ/13,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,13,160,1300
 5299/Γ/14,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,14,180,1600
 5299/Γ/4,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,4,40,100
 5299/Γ/5,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,5,50,160
 5299/Γ/6,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,6,60,260
 5299/Γ/7,ΚΛΙΠΣ ΓΑΛΒΑΝΙΖΕ,7,70,335
