ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,DC,ΙΣΧΥΣ (watt),ΕΛΞΗ (kgs),ΑΛΥΣΙΔΑ ,ΤΑΧΥΤΗΤΑ,ΜΗΚΟΣ(mm),ΥΨΟΣ(mm),ΠΛΑΤΟΣ(mm)
ΕΡΓ/511,ΕΡΓΑΤΕΣ  ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,600,560,6mm,20m/min,260,85,
ΕΡΓ/511Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,600,560,6mm,20m/min,260,115,
ΕΡΓ/611,ΕΡΓΑΤΕΣ  ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,800,700,8mm,20m/min,320,110,
ΕΡΓ/611Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,800,700,8mm,20m/min,320,160,
ΕΡΓ/711,ΕΡΓΑΤΕΣ  ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,1200,1200,8/10mm,20m/min,350,110,
ΕΡΓ/711/24,ΕΡΓΑΤΕΣ  ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,24,1200,1200,8/10mm,20m/min,350,110,
ΕΡΓ/711Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,1200,1200,8/10mm,20m/min,350,165,
ΕΡΓ/711Τ/24,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,24,1200,1200,8/10mm,20m/min,350,165,
ΕΡΓ/811Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,1600,1600,10/12mm,20m/min,400,180,
ΕΡΓ/811Τ/24,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,24,1600,1600,10/12mm,20m/min,400,180,
ΕΡΓ/S612,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,600,560,6mm,20m/min,269,140,200
ΕΡΓ/YD1000,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,1000,1000,8/10mm,20m/min,410,220,300
ΕΡΓ/YD1000/24,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,24,1000,1000,8/10mm,20m/min,410,220,300
ΕΡΓ/YD1600,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,1600,1400,10/12mm,20m/min,440,240,430
ΕΡΓ/YD1600/24,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,24,1600,1400,10/12mm,20m/min,440,240,430
