1408/ΓΑ/10;ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ ;ΔΙΑΜΕΤΡΟΣ;10mm;;;;
1408/ΓΑ/12;ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ ;ΔΙΑΜΕΤΡΟΣ;12mm;;;;
1408/ΓΑ/6;ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ ;ΔΙΑΜΕΤΡΟΣ;6mm;;;;
1408/ΓΑ/8;ΓΑΝΤΖΟΙ ΕΝΤΑΤΗΡΑ ;ΔΙΑΜΕΤΡΟΣ;8mm;;;;
ΓΑΝ/1060805;ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ;ΜΗΚΟΣ;60-120cm;ΧΡΩΜΑ;ΓΚΡΙ;;
ΓΑΝ/1060807;ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ;ΜΗΚΟΣ;120-210cm;ΧΡΩΜΑ;ΓΚΡΙ;;
ΓΑΝ/1060811;ΓΑΝΤΖΟΙ ΤΗΛΕΣΚΟΠΙΚΟΙ;ΜΗΚΟΣ;120-210cm;ΧΡΩΜΑ;ΜΠΛΕ;;
ΓΑΝ/52906;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ;ΔΙΑΜΕΤΡΟΣ;6mm;;;;
ΓΑΝ/52908;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ;ΔΙΑΜΕΤΡΟΣ;8mm;;;;
ΓΑΝ/52910;ΓΑΝΤΖΑΚΙΑ ΛΑΣΤΙΧΟΥ ΙΝΟΧ;ΔΙΑΜΕΤΡΟΣ;10mm;;;;
ΓΑΝ/8377/Α4;ΓΑΝΤΖΟΙ ΠΑΡΑΘΥΡΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΜΗΚΟΣ;80mm;;;;
ΓΑΝ/8378/Α4;ΓΑΝΤΖΟΙ ΠΑΡΑΘΥΡΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΜΗΚΟΣ;100mm;;;;
ΓΑΝ/8382/Α4;ΓΑΝΤΖΟΙ ΠΑΡΑΘΥΡΟΥ ΑΝΟΞΕΙΔΩΤΟΙ;ΜΗΚΟΣ;130mm;;;;
ΓΑΝ/S/10;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΓΑΛΒΑΝΙΖΕ;ΔΙΑΜΕΤΡΟΣ;10mm;;;;
ΓΑΝ/S/4;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΓΑΛΒΑΝΙΖΕ;ΔΙΑΜΕΤΡΟΣ;4mm;;;;
ΓΑΝ/S/5;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΓΑΛΒΑΝΙΖΕ;ΔΙΑΜΕΤΡΟΣ;5mm;;;;
ΓΑΝ/S/6;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΓΑΛΒΑΝΙΖΕ;ΔΙΑΜΕΤΡΟΣ;6mm;;;;
ΓΑΝ/S/8;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΓΑΛΒΑΝΙΖΕ;ΔΙΑΜΕΤΡΟΣ;8mm;;;;
ΓΑΝ/S/Α4/4;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΙΝΟΧ;ΔΙΑΜΕΤΡΟΣ;4mm;;;;
ΓΑΝ/S/Α4/5;ΓΑΝΤΖΑΚΙΑ ΤΥΠΟΥ S ΙΝΟΧ;ΔΙΑΜΕΤΡΟΣ;5mm;;;;
