code,description,Διαμετρος (mm),fortio asf kgs,pyros mm
ΚΛΕ/Γ/10,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,10,320,-
ΚΛΕ/Γ/12,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,12,520,-
ΚΛΕ/Γ/14,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,14,650,-
ΚΛΕ/Γ/16,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,16,800,-
ΚΛΕ/Γ/20,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,20,1100,-
ΚΛΕ/Γ/22,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,22,1500,-
ΚΛΕ/Γ/25,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,25,2100,-
ΚΛΕ/Γ/28,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,28,3000,-
ΚΛΕ/Γ/32,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,32,3500,-
ΚΛΕ/Γ/38,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,38,5000,-
ΚΛΕ/Γ/5,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,5,80,-
ΚΛΕ/Γ/50,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,50,8000,-
ΚΛΕ/Γ/6,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,6,100,-
ΚΛΕ/Γ/8,ΚΛΕΙΔΙ ΝΑΥΤΙΚΟ ΤΥΠΟΥ D ΓΑΛΒ.,8,200,-
ΚΛΕ/Γ/Τ/10,ΚΛΕΙΔΙ ΓΑΛΒΑΝΙΖΕ ΤΥΠΟΥ D ΤΕΣΤ,10,1000,12
ΚΛΕ/Γ/Τ/12,ΚΛΕΙΔΙ ΓΑΛΒΑΝΙΖΕ ΤΥΠΟΥ D ΤΕΣΤ,12,2000,16
ΚΛΕ/Γ/Τ/16,ΚΛΕΙΔΙ ΓΑΛΒΑΝΙΖΕ ΤΥΠΟΥ D ΤΕΣΤ,16,3250,19
ΚΛΕ/Γ/Τ/20,ΚΛΕΙΔΙ ΓΑΛΒΑΝΙΖΕ ΤΥΠΟΥ D ΤΕΣΤ,20,4750,22
