kodikos,DIAMETROS,titlos,Psyxi-pirinas,pleksi,baros,thrausi,epipleon plirofories,poiotita
19/7/ΓΧΨ/3,3,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,34 γραμ/μέτρο,439 κιλά,-,-
19/7/ΓΧΨ/4,4,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,60 γραμ/μέτρο,750 κιλά,-,-
19/7/ΓΧΨ/5,5,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,95 γραμ/μέτρο,1200 κιλά,-,-
19/7/ΓΧΨ/6,6,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,140 γραμ/μέτρο,1970 κιλά,-,-
19/7/ΓΧΨ/8,8,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,250 γραμ/μέτρο,3300 κιλά,-,-
19/7/ΓΧΨ/10,10,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,390 γραμ/μέτρο,4.400 κιλά,-,-
19/7/ΓΧΨ/12,12,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,560 γραμ/μέτρο,7800 κιλά, Διατίθεται και σε 35x7,-
19/7/ΓΧΨ/14,14,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,760 γραμ/μέτρο,10.000 κιλά, Διατίθεται και σε 35x7,-
19/7/ΓΧΨ/16,16,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1000 γραμ/μέτρο,10.000 κιλά, Διατίθεται και σε 35x7,-
19/7/ΓΧΨ/20,20,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1560 γραμ/μέτρο,21.000 κιλά,-,-
19/7/ΓΧΨ/18,18,Ασύστροφο συρματόσχοινο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,1260 γραμ/μέτρο,17.000 κιλά, Διατίθεται και σε 35x7,-
7/7/Α4/1,1,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-,150 κιλά,-,Aisi 316
7/7/Α4/1.5,1.5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-,175 κιλά,-,Aisi 316
7/7/Α4/2,2-3,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-,200 κιλά,-,Aisi 316
7/7/Α4/2.5,2.5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/7 συρματίδια ο κλώνος,-,300 κιλά,-,Aisi 316
7/19/Α4/3,3,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,470 κιλά,-,Aisi 316
7/19/Α4/4,4,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,850 κιλά,-,Aisi 316
7/19/Α4/5,5,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1300 κιλά,-,Aisi 316
7/19/Α4/6,6,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,1900 κιλά,-,Aisi 316
7/19/Α4/7,7,Συρματόσχοινο ανοξείδωτο,Χαλύβδινη ψυχή,7 κλώνοι/19 συρματίδια ο κλώνος,-,2600 κιλά,-,Aisi 316
