postid;code1;code2;title;image;a1;v1;a2;v2;a3;v3;a4;v4;a5;v5;a6;v6
8387;ΕΡΓ/611;ΕΡΓ/611;Εργατης 800 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 vol;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;11 cm
8392;ΕΡΓ/711;ΕΡΓ/711;Εργατης 1200 watt χωνευτός;εργατες-σκαφων-3.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;11 cm
8385;ΕΡΓ/511Τ;ΕΡΓ/511Τ;Εργατης 600 watt χωνευτός με τύμπανο;εργατες-σκαφων-6.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;26 cm;Ύψος κεφαλής;11.5 cm
10351;ΕΡΓ/ΣΧ/4500;ΕΡΓ/ΣΧ/4500;Εργάτης T-max 4500 lbs με σχοινί;εργατες-jeep-16.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37.2 cm;Φάρδος;12.8 cm;Ύψος;18.1 cm;Βάρος;11.8 kgs
10328;ΕΡΓ/ΣΧ/6000;ΕΡΓ/ΣΧ/6000;Εργάτης T-max 6000 lbs;εργατες-jeep-4.jpg;Dc;12 v;Έλξη;2.720 kgs;Μήκος;38 cm;Φάρδος;13 cm;Ύψος;18.5 cm;Βάρος;12.5 kgs
10321;ΕΡΓ/3500;ΕΡΓ/3500;Εργάτης T-max 3500 lbs;tmax-3500.jpg;Dc;12 v;Έλξη;1587 kgs;Μήκος;34.8 cm;Φάρδος;12 cm;Ύψος;12.8 cm;Βάρος;13 kgs
8395;ΕΡΓ/S612;ΕΡΓ/S612;Εργατης 600 watt εξωτερικός;εργατες-σκαφων-7.jpg;Dc;12 volt;Έλξη;560 κιλά;Αλυσίδα;6 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος;26 cm; Ύψος;14 cm
10324;ΕΡΓ/4500;ΕΡΓ/4500;Εργάτης T-max 4500 lbs;t-max-4500lbs.jpg;Dc;12 v;Έλξη;2.040 kgs;Μήκος;37 cm;Φάρδος;12 cm;Ύψος;18 cm;Βάρος;14.5 kgs
8391;ΕΡΓ/611Τ;ΕΡΓ/611Τ;Εργατης 800 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt;Μέγιστη έλξη;700 κιλά;Αλυσίδα;8 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;32 cm;Ύψος κεφαλής;16.5 cm
8393;ΕΡΓ/711Τ;ΕΡΓ/711Τ;Εργατης 1200 watt χωνευτός με τύμπανο;εργατες-σκαφων-1.jpg;Dc;12 volt ή 24 volt;Μέγιστη έλξη;1200 κιλά;Αλυσίδα;10 mm;Ταχύτητα;20 μέτρα/λεπτό;Μήκος μοτέρ;35 cm;Ύψος κεφαλής;16.5 cm
