kodikos,titlos,ΔΙΑΜΕΤΡΟΣ (mm),ΜΗΚΟΣ (mm)
ΠΡΟ/ΓΑ/15/15,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,2.5,35
ΠΡΟ/ΓΑ/3/40,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,3,40
ΠΡΟ/ΓΑ/16/21,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,3,52
ΠΡΟ/ΓΑ/16/24,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,3,60
ΠΡΟ/ΓΑ/18/30,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,3,70
ΠΡΟ/ΓΑ/19/45,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,110
ΠΡΟ/ΓΑ/4/40,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,40
ΠΡΟ/ΓΑ/4/50,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,50
ΠΡΟ/ΓΑ/4/60,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,60
ΠΡΟ/ΓΑ/17/27,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,75
ΠΡΟ/ΓΑ/4/80,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,4,80
ΠΡΟ/ΓΑ/18/36,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,3,70
ΠΡΟ/ΓΑ/5/100,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,100
ΠΡΟ/ΓΑ/5/110,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,110
ΠΡΟ/ΓΑ/5/120,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,120
ΠΡΟ/ΓΑ/5/130,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,130
ΠΡΟ/ΓΑ/5/140,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,140
ΠΡΟ/ΓΑ/5/150,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,150
ΠΡΟ/ΓΑ/5/52,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,52
ΠΡΟ/ΓΑ/5/60,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,60
ΠΡΟ/ΓΑ/5/70,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,70
ΠΡΟ/ΓΑ/5/75,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,75
ΠΡΟ/ΓΑ/5/80,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,80
ΠΡΟ/ΓΑ/5/90,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,5,90
ΠΡΟ/ΓΑ/6/100,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,100
ΠΡΟ/ΓΑ/6/110,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,110
ΠΡΟ/ΓΑ/6/120,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,120
ΠΡΟ/ΓΑ/6/130,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,130
ΠΡΟ/ΓΑ/6/140,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,140
ΠΡΟ/ΓΑ/6/150,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,150
ΠΡΟ/ΓΑ/6/160,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,160
ΠΡΟ/ΓΑ/6/170,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,170
ΠΡΟ/ΓΑ/6/180,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,6,180
ΠΡΟ/ΓΑ/8/150,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,8,150
ΠΡΟ/ΓΑ/8/160,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,8,160
ΠΡΟ/ΓΑ/8/170,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,8,170
ΠΡΟ/ΓΑ/8/180,ΠΡΟΚΕΣ ΓΑΛΒΑΝΙΖΕ ,8,180
ΠΡΟ/Α4/2.5/25,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,2.5,25
ΠΡΟ/Α4/2/20,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,2,20
ΠΡΟ/Α4/2/30,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,2,30
ΠΡΟ/Α4/3/30,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,3,30
ΠΡΟ/Α4/3/50,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,3,50
ΠΡΟ/Α4/4/40,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,4,40
ΠΡΟ/Α4/4/50,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,4,50
ΠΡΟ/Α4/5/50,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,5,50
ΠΡΟ/Α4/5/70,ΠΡΟΚΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,5,70
ΠΡΟ/ΟΡ/2/15,ΠΡΟΚΕΣ ΟΡΕΙΧΑΛΚΙΝΕΣ,2,15
ΠΡΟ/ΟΡ/2/25,ΠΡΟΚΕΣ ΟΡΕΙΧΑΛΚΙΝΕΣ,2,25
ΠΡΟ/ΟΡ/2/30,ΠΡΟΚΕΣ ΟΡΕΙΧΑΛΚΙΝΕΣ,2,30
ΣΤΟΥ/1,ΣΤΟΥΠΑΡΟΛΙΑ ΧΑΛΚΙΝΑ ,2,25
ΣΤΟΥ/1/2,ΣΤΟΥΠΑΡΟΛΙΑ ΧΑΛΚΙΝΑ ,2,12
ΣΤΟΥ/3/4,ΣΤΟΥΠΑΡΟΛΙΑ ΧΑΛΚΙΝΑ ,2,19
ΣΤΟΥ/3/8,ΣΤΟΥΠΑΡΟΛΙΑ ΧΑΛΚΙΝΑ ,2,10
ΣΤΟΥ/5/8,ΣΤΟΥΠΑΡΟΛΙΑ ΧΑΛΚΙΝΑ ,2,16
