ΕΞΣ/66051/Α4;Καμπύλες σωλήνος 110 μοίρες;εξαρτηματα-σωληνων-22.jpg; Για διάμετρο σωλήνα;22mm;;;;;;;;;;;;;;;
ΧΑΤΣ/510Ν;Ανθρωποθυρίδες αλουμινίου  ;ανθρωποθυριδες-5.jpg; Εσωτερικές διαστάσεις;34 x 20 cm;Εξωτερικές διαστάσεις;40 x 26 cm;;;;;;;;;;;;;
ΑΛΟΙΦ/36109;Αλοιφή για πολυεστέρα light 473ml;καθαριστικα-σκαφων-3.jpg; μαζί με κερί για προστασία.Περνιέται με αλοιφαδόρο και γούνες και με το χέρι με πανί μικροινών.Μέγεθος;473ml;;;;;;;;;;;;;;;
ΑΛΟΙΦ/36110;Αλοιφή για πολυεστέρα light 946 ml;καθαριστικα-σκαφων-4.jpg; μαζί με κερί για προστασία.Περνιέται με αλοιφαδόρο και γούνες και με το χέρι με πανί μικροινών.Μέγεθος;946 ml;;;;;;;;;;;;;;;
ΑΛΟΙΦ/36105;Αλοιφή για πολυεστέρα medium 473ml;καθαριστικα-σκαφων-1.jpg; μαζί με κερί για προστασία.Περνιέται με αλοιφαδόρο και γούνες και με το χέρι με πανί μικροινών.Μέγεθος;473 ml;;;;;;;;;;;;;;;
GRIPELAST;Αντιολισθητικό χρώμα πολυουρεθάνης;αντιολισθητικη-πολυουρεθανη.jpg;"<span style=""color"; #000000;><span style=font-size;"γκρι ανοιχτό και μπεζ.<span style=""color"; #000000;><span style=font-size;" που χρησιμέυει στην δημιουργία αντιολισθητικού επιστρώματος στις διάφορες επιφάνει</span><span style=""font-size"; large;>ε</span><span style=font-size;"στα συνεχόμενα πατήματα καθώς δημιουργεί μια αίσθηση άνεσης και ασφάλειας ακόμα και με γυμνό πόδι.</span></span><span style=""color"; #000000;><span style=font-size;"δεν θα γλιστράει και θα προστατεύεται από τις διάφορες καιρικές συνθήκες και το συχνό περπάτημα.</span></span><span style=""font-size"; large;"><u><b>Τρόποι εφαρμογής;μικροοργανισμοί και σκόνη πρέπει να αφαιρούνται ολικά πριν την χρήση </span><span style=font-size"; large;>με τριβίο.</span></span><span style=color
6/19/ΓΚΨ/10;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;330 γραμ/μέτρο;Θραύση;4800 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/10;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;338 γραμ/μέτρο;Θραύση;4900 κιλά;;;;;;;;;;;;;
6/19/ΓΧΨ/10;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;380 γραμ/μέτρο;Θραύση;4.600 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/12;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;485 γραμ/μέτρο;Θραύση;6600 κιλά;;;;;;;;;;;;;
6/36/ΓΧΨ/12;Συρματόσχοινα γαλβανιζέ χαλύβδινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;400 γραμ/μέτρο;Θραύση;7.000 κιλά;;;;;;;;;;;;;
6/37/ΓΚΨ/14;Συρματόσχοινά γαλβανιζέ καννάβινη ψυχή;συρματοσχοινα-1.jpg;Bάρος;660 γραμ/μέτρο;Θραύση;9000 κιλά;;;;;;;;;;;;;
