ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΤΥΠΟΣ,ΧΩΡΗΤ. (lt),ΜΗΚΟΣ (mm),ΦΑΡΔΟΣ (mm),ΥΨΟΣ (mm)
ΡΕΖ/2084,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,28,450,390,200 
ΡΕΖ/2085,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,35,550,390,200 
ΡΕΖ/2086,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,41,650,390,200 
ΡΕΖ/2087,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,48,750,390,200 
ΡΕΖ/2088,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,54,850,390,200 
ΡΕΖ/2089,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,61,950,390,200 
ΡΕΖ/2090,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,67,1050,390,200 
ΡΕΖ/2091,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,43,450,390,290 
ΡΕΖ/2092,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,53,550,390,290 
ΡΕΖ/2093,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,63,650,390,290 
ΡΕΖ/2094,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,73,750,390,290 
ΡΕΖ/2095,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,83,850,390,290 
ΡΕΖ/2096,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,93,950,390,290 
ΡΕΖ/2097,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,FOXTROT,103,1050,390,290 
ΡΕΖ/2020,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,GOLF LINE,40,500,400,280 
ΡΕΖ/2021,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,GOLF LINE,50,650,400,280 
ΡΕΖ/2022,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,GOLF LINE,65,800,400,280 
ΡΕΖ/2033,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,70,800,400,280 
ΡΕΖ/2034,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,84,950,400,280 
ΡΕΖ/2035,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,96,1100,400,280 
ΡΕΖ/2036,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,102,800,400,400 
ΡΕΖ/2037,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,120,950,400,400 
ΡΕΖ/2038,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,HOTEL LINE,140,1100,400,400 
ΡΕΖ/2023,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,33,500,350,230 
ΡΕΖ/2024,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,43,650,350,230 
ΡΕΖ/2025,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,53,800,350,230 
ΡΕΖ/2026,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,42,500,350,300 
ΡΕΖ/2027,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,55,650,350,300 
ΡΕΖ/2028,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,INDIA LINE,70,800,350,300 
ΡΕΖ/2028,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,JULIET LINE,62,660,300,410+30
ΡΕΖ/2030,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,JULIET LINE,91,910,300,410+30
ΡΕΖ/2031,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,KILO LINE,62,660,410,300+30
ΡΕΖ/2032,ΡΕΖΕΡΒΟΥΑΡ ΚΑYΣΙΜΩΝ CAN,KILO LINE,91,910,410,300+30  
