ΚΩΔΙΚΟΣ ,ΠΕΡΙΓΡΑΦΗ ,ΔΟΧΕΙΟ,ΧΡΩΜΑ,ΤΥΠΟΣ,ΔΙΑΛ/ΚΟ
ΑΤΤ063,ΑΣΤΑΡΙA  ΞΥΛΟΥ/ΣΙΔΗΡΟΥ SOTTOFONDO,2.5liters,ΓΚΡΙ,ΕΝΟΣ ΣΥΣΤ,110
ΑΤΤ062,ΑΣΤΑΡΙA ΞΥΛΟΥ/ΣΙΔΗΡΟΥ SOTTOFONDO,750ml,ΓΚΡΙ,ΕΝΟΣ ΣΥΣΤ.,110
ΑΤΤ060,ΑΣΤΑΡΙΑ ΑΝΤΙΟΣΜΩΤΙΚΑ MARINE PRIMER,750ml,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,128
ΑΤΤ061,ΑΣΤΑΡΙΑ ΑΝΤΙΟΣΜΩΤΙΚΑ MARINE PRIMER,2.5liters,ΛΕΥΚΟ,ΔΥΟ ΣΥΣΤ.,128
ΑΤΤ057,ΑΣΤΑΡΙΑ ΠΟΛΥΕΣΤΕΡΑ FIBERGUARD,750ml,ΡΟΖ,ΕΝΟΣ ΣΥΣΤ.,128
ΑΤΤ058,ΑΣΤΑΡΙΑ ΠΟΛΥΕΣΤΕΡΑ FIBERGUARD,2.5liters,ΡΟΖ,ΕΝΟΣ ΣΥΣΤ,128
ΑΤΤ067,ΑΣΤΑΡΙΑ ΠΡΟΠΕΛΑΣ ELIGUARD,250ml,ΛΕΥΚΟ,ΕΝΟΣ ΣΥΣΤ.,110
ATT053,ΔΙΑΛΥΤΙΚΑ ,500ml,ΔΙΑΦΑΝΟ,110,X
ATT055,ΔΙΑΛΥΤΙΚΑ ,500ml,ΔΙΑΦΑΝΟ,130,X
ATT056,ΔΙΑΛΥΤΙΚΑ ,500ml,ΔΙΑΦΑΝΟ,128,X
ΑΤΤ066,ΣΤΟΚΟΙ EPOXYCOQUE,750ml,X,X,X
