ΚΩΔΙΚΟΣ	ΠΕΡΙΓΡΑΦΗ	ΜΗΚΟΣ (mm)	ΠΛΑΤΟΣ(mm)
ΜΕΝ/4012	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	30
ΜΕΝ/4014	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	35
ΜΕΝ/4016	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	40
ΜΕΝ/4018	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	44
ΜΕΝ/401845	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	72	40
ΜΕΝ/4020	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	48
ΜΕΝ/4022	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	40	52
ΜΕΝ/402525	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	77	40
ΜΕΝ/402545	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	77	40
ΜΕΝ/404545	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	40
ΜΕΝ/4570Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	45	65
ΜΕΝ/4570Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	45	65
ΜΕΝ/55100Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	55	100
ΜΕΝ/55100Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	55	100
ΜΕΝ/6012	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	32
ΜΕΝ/6014	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	35
ΜΕΝ/6016	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	40
ΜΕΝ/6018	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	44
ΜΕΝ/6020	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	48
ΜΕΝ/6022	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	60	52
ΜΕΝ/6023	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	75	30
ΜΕΝ/604545	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	60
ΜΕΝ/65100Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	65	100
ΜΕΝ/65100Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	65	100
ΜΕΝ/65185	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	185	65
ΜΕΝ/70120Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	70	112
ΜΕΝ/70120Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	70	112
ΜΕΝ/75120Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	75	112
ΜΕΝ/75120Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	75	112
ΜΕΝ/8001	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	48	40
ΜΕΝ/8002	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	55	40
ΜΕΝ/8004	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	65	40
ΜΕΝ/8005	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	73	40
ΜΕΝ/8006	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	50	50
ΜΕΝ/8007	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	105	30
ΜΕΝ/8008	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	110	45
ΜΕΝ/8009	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	50	32
ΜΕΝ/8010Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	45	70
ΜΕΝ/8010Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	45	70
ΜΕΝ/8011Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	55	100
ΜΕΝ/8011Δ	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	55	100
ΜΕΝ/8012	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	32
ΜΕΝ/8014	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	35
ΜΕΝ/8016	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	40
ΜΕΝ/8018	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	44
ΜΕΝ/8020	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	48
ΜΕΝ/8022	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	52
ΜΕΝ/8030	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	30
ΜΕΝ/804545	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	80	100
ΜΕΝ/8620	ΜΕΝΤΕΣΕΣ ΜΕ ΕΣΩΤΕΡΙΚΟ ΣΠΕΙΡΩΜΑ ΙΝΟΧ	125	65
ΜΕΝ/9120656	ΜΕΝΤΕΣΕΣ ΜΕ ΑΥΤΟΚΟΛΛΗΤΑ ΚΑΠΑΚΙΑ 76Χ36	72	40
ΜΕΝ/ΚΑΘ/Α	ΜΕΝΤΕΣΕΣ ΚΑΘΙΣΜΑΤΟΣ ΙΝΟΧ ΑΡΙΣΤΕΡΟΣ	260+260	33
ΜΕΝ/ΚΑΘ/Δ	ΜΕΝΤΕΣΕΣ ΚΑΘΙΣΜΑΤΟΣ ΙΝΟΧ ΔΕΞΙΟΣ	260+260	33
ΜΕΝ/10012	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	32
ΜΕΝ/10014	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	100	35
ΜΕΝ/100140Α	ΜΕΝΤΕΣΕΔΕΣ ΑΝΟΞΕΙΔΩΤΟΙ	140	100
