ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,DC,ΙΣΧΥΣ (watt),ΕΛΞΗ (kgs),ΑΛΥΣΙΔΑ ,ΤΑΧΥΤΗΤΑ,ΜΗΚΟΣ,ΥΨΟΣ,ΠΛΑΤΟΣ
ΕΡΓ/511,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,600,560,6mm,20m/min,26cm,8.5cm,-
ΕΡΓ/511Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,600,560,6mm,20m/min,26cm,11.5cm,-
ΕΡΓ/611,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,800,700,8mm,20m/min,32cm,11cm,-
ΕΡΓ/611Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,800,700,8mm,20m/min,32cm,16cm,-
ΕΡΓ/711,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,12,1200,1200,8/10mm,20m/min,35cm,11cm,-
ΕΡΓ/711/24,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ,24,1200,1200,8/10mm,20m/min,35cm,11cm,-
ΕΡΓ/711Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,1200,1200,8/10mm,20m/min,35cm,16.5cm,-
ΕΡΓ/711Τ/24,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,24,1200,1200,8/10mm,20m/min,35cm,16.5cm,-
ΕΡΓ/811Τ,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,12,1600,1600,10/12mm,20m/min,40cm,18cm,-
ΕΡΓ/811Τ/24,ΕΡΓΑΤΗΣ ΑΓΚΥΡΑΣ ΧΩΝΕΥΤΟΙ ΤΥΜΠΑΝΟ ,24,1600,1600,10/12mm,20m/min,40cm,18cm,-
ΕΡΓ/S612,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,600,560,6mm,20m/min,26cm,14cm,20cm
ΕΡΓ/YD1000,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,1000,1000,8/10mm,20m/min,41cm,22cm,30cm
ΕΡΓ/YD1000/24,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,24,1000,1000,8/10mm,20m/min,41cm,22cm,30cm
ΕΡΓ/YD1600,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,12,1600,1400,10/12mm,20m/min,44cm,24cm,43cm
ΕΡΓ/YD1600/24,ΕΡΓΑΤΕΣ ΑΓΚΥΡΑΣ ΕΞΩΤΕΡΙΚΟΙ,24,1600,1400,10/12mm,20m/min,44cm,24cm,43cm
