ΚΩΔΙΚΟΣ,ΠΕΡΙΓΡΑΦΗ,ΒΑΡΟΣ (kgs),ΔΙΑΜΕΤΡΟΣ (mm)
ΑΝΟ/ΔΙ/100,ΑΝΟΔΙΑ ΑΞΩΝΑ ,-,100
ΑΝΟ/ΔΙ/20,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,20
ΑΝΟ/ΔΙ/22,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,22
ΑΝΟ/ΔΙ/25,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,25
ΑΝΟ/ΔΙ/28,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,28
ΑΝΟ/ΔΙ/30,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,30
ΑΝΟ/ΔΙ/32,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,32
ΑΝΟ/ΔΙ/35,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,35
ΑΝΟ/ΔΙ/38,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ,-,38
ΑΝΟ/ΔΙ/40,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,40
ΑΝΟ/ΔΙ/45,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,45
ΑΝΟ/ΔΙ/50,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,50
ΑΝΟ/ΔΙ/55,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,55
ΑΝΟ/ΔΙ/60,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,60
ΑΝΟ/ΔΙ/70,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,70
ΑΝΟ/ΔΙ/75,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,75
ΑΝΟ/ΔΙ/80,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ,-,80
ΑΝΟ/ΔΙ/85,ΑΝΟΔΙΟ ΔΙΑΙΡΟΥΜΕΝΟ,-,85
ΑΝΟ/ΔΙ/90,ΑΝΟΔΙΑ ΔΙΑΙΡΟΥΜΕΝΑ,-,90
