id,sku,title,Mikos ΜΜ,ΔΙΑΜΕΤΡΟΣ ΜΜ,xroma,diametros mm
1217,ΔΕΣ/10/20Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,20,10,-,-
1218,ΔΕΣ/10/40Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,40,10,-,-
1219,ΔΕΣ/10/60Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,60,10,-,-
1220,ΔΕΣ/10/80Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,80,10,-,-
1221,ΔΕΣ/12/100Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,100,12,-,-
1223,ΔΕΣ/12/30Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,30,12,-,-
1224,ΔΕΣ/12/90,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,90,12,-,-
1225,ΔΕΣ/8/20Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,20,80,-,-
1226,ΔΕΣ/8/50Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,50,8,-,-
1227,ΔΕΣ/8/80Κ,ΔΕΣΤΡΕΣ ΤΡΕΙΛΕΡ ΑΝΟΞΕΙΔΩΤΕΣ,80,8,-,-
1195,ΔΕΣ/Α4/10,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,250,-,-,-
1196,ΔΕΣ/Α4/12,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,300,-,-,-
1197,ΔΕΣ/Α4/4,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,100,-,-,-
1198,ΔΕΣ/Α4/5,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,127,-,-,-
1199,ΔΕΣ/Α4/6,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,153,-,-,-
1200,ΔΕΣ/Α4/8,ΔΕΣΤΡΕΣ ΠΛΑΚΕ ΑΝΟΞΕΙΔΩΤΕΣ,200,-,-,-
1185,ΔΕΣ/ΑΝΑΔ/4.5,ΔΕΣΤΡΕΣ ΑΝΑΔΙΠΛΟΥΜΕΝΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,100,-,-,-
1186,ΔΕΣ/ΑΝΑΔ/6,ΔΕΣΤΡΕΣ ΑΝΑΔΙΠΛΟΥΜΕΝΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,153,-,-,-
1187,ΔΕΣ/ΑΝΑΔ/8,ΔΕΣΤΡΕΣ ΑΝΑΔΙΠΛΟΥΜΕΝΕΣ ΑΝΟΞΕΙΔΩΤΕΣ,200,-,-,-
